Feature	Covariate1	Covariate_type1	Effect_size1	Covariate2	Covariate_type2	Effect_size2	Covariate3	Covariate_type3	Effect_size3	Covariate4	Covariate_type4	Effect_size4	Covariate5	Covariate_type5	Effect_size5	Covariate6	Covariate_type6	Effect_size6	Covariate7	Covariate_type7	Effect_size7	Covariate8	Covariate_type8	Effect_size8
7_Helios- Ki67- CD4+ CD3+ /ul	ANTI_PLATELET	Not_reducible_to_covariate	-0.173937941275189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7_IFNg+ IL17a+ CD4+ CD3+ /ul	AT2_BLOCKER	Not_reducible_to_covariate	0.155273391999736	DIURETIC	Not_reducible_to_covariate	0.179319084627442	IMIDAZOLE_AGONIST	Not_reducible_to_covariate	0.262332317558181	PPI	Not_reducible_to_covariate	0.151615074865796	THYROID	Not_reducible_to_covariate	0.173762235336216	NA	NA	NA	NA	NA	NA	NA	NA	NA
7_IFNg- IL17a+ CD4+ CD3+ /ul	AT2_BLOCKER	Not_reducible_to_covariate	0.150582230126255	DIURETIC	Not_reducible_to_covariate	0.150072277334372	IMIDAZOLE_AGONIST	Not_reducible_to_covariate	0.299884672283762	THYROID	Not_reducible_to_covariate	0.178930591872965	VITAMIN_D	Not_reducible_to_covariate	0.211421057240541	NA	NA	NA	NA	NA	NA	NA	NA	NA
7_IFNg- IL17a- CD4+ CD3+ /ul	ANTI_PLATELET	Not_reducible_to_covariate	-0.176292608813901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7_IL17a+ IL22- CD4+ CD3+ /ul	AT2_BLOCKER	Not_reducible_to_covariate	0.171287127940004	DIURETIC	Not_reducible_to_covariate	0.174954328411197	IMIDAZOLE_AGONIST	Not_reducible_to_covariate	0.306963661953755	THYROID	Not_reducible_to_covariate	0.179430479288907	VITAMIN_D	Not_reducible_to_covariate	0.203036402171705	NA	NA	NA	NA	NA	NA	NA	NA	NA
7_IL17a- IL22- CD4+ CD3+ /ul	ANTI_PLATELET	Not_reducible_to_covariate	-0.176855029404357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7_Helios- IFNg- CD4+ CD3+ /ul	ANTI_PLATELET	Not_reducible_to_covariate	-0.172475647740002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7_IL17a+ Ki67- CD4+ CD3+ /ul	AT2_BLOCKER	Not_reducible_to_covariate	0.183313734809382	DIURETIC	Not_reducible_to_covariate	0.175280699710702	IMIDAZOLE_AGONIST	Not_reducible_to_covariate	0.32261541405006	THYROID	Not_reducible_to_covariate	0.189266558640725	VITAMIN_D	Not_reducible_to_covariate	0.210869931556132	NA	NA	NA	NA	NA	NA	NA	NA	NA
7_IL17a- Ki67- CD4+ CD3+ /ul	ANTI_PLATELET	Not_reducible_to_covariate	-0.183304118841592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9_IL17a- IFNg+ Va7.2+ CD161+ CD4- CD3+ /ul	ACE_INHIBITOR	Not_reducible_to_covariate	-0.200953929593757	ANTI_PLATELET	Not_reducible_to_covariate	-0.194366684629633	DIURETIC	Not_reducible_to_covariate	-0.231387142961319	METFORMIN	Not_reducible_to_covariate	-0.209432722845554	PPI	Not_reducible_to_covariate	-0.314913047949115	STATIN	Not_reducible_to_covariate	-0.154627943182396	THYROID	Not_reducible_to_covariate	-0.232306036036713	NA	NA	NA
