Feature	Prevalence_percentage	Mean_abundance	Signal	Effect_1_2	Effect_1_3	Effect_2_3	EffectSize_1_2	EffectSize_1_3	EffectSize_2_3	Null_time_model_q	Post-hoc_q_1_2	Post-hoc_q_1_3	Post-hoc_q_2_3
7_Foxp3- Ki67+ CD4+ CD3+ /ul	98.305	15.206	NS	NS	NS	NS	-0.178571428571429	-0.142857142857143	0.0714285714285714	0.278723142857143	0.157741412711201	0.263387345218695	0.575297269250874
7_Foxp3+ Ki67+ CD4+ CD3+ /ul	98.305	10.136	NS	NS	NS	NS	-0.142857142857143	-0.107142857142857	0	0.355526166666667	0.246829008162989	0.246829008162989	0.779682646043463
7_Foxp3+ Ki67- CD4+ CD3+ /ul	98.305	262.89	NS	NS	NS	NS	-0.107142857142857	0	0.214285714285714	0.518218948818898	0.339813065884358	0.909277866820149	0.339813065884358
7_Foxp3- Ki67- CD4+ CD3+ /ul	98.305	562.042	NS	NS	NS	NS	-0.321428571428571	-0.0714285714285714	0.285714285714286	0.116259363559322	0.153122717701853	0.368107790408867	0.0391230394999695
7_Helios- Ki67+ CD4+ CD3+ /ul	98.305	17.24	NS	NS	NS	NS	-0.178571428571429	-0.142857142857143	0.107142857142857	0.343542905660377	0.216549426332428	0.411299014015772	0.411299014015772
7_Helios+ Ki67+ CD4+ CD3+ /ul	98.305	5.967	NS	NS	NS	NS	-0.178571428571429	0.142857142857143	-0.0714285714285714	0.405458756756757	0.270506905557081	0.270506905557081	0.852815835049642
7_Helios+ Ki67- CD4+ CD3+ /ul	98.305	45.05	NS	NS	NS	NS	-0.0357142857142857	-0.178571428571429	-0.0357142857142857	0.53517430078125	0.880474984962266	0.368087056625583	0.368087056625583
7_Helios- Ki67- CD4+ CD3+ /ul	98.305	782.044	OK_nrc	Decreased	NS	Enriched	-0.214285714285714	0.142857142857143	0.392857142857143	0.00735303132352941	0.0479483652562363	0.100811225746917	0.000734155538667499
7_IFNg+ IL17a+ CD4+ CD3+ /ul	97.74	1.649	OK_nrc	Decreased	NS	NS	-0.285714285714286	-0.142857142857143	0.0714285714285714	0.0588692382352941	0.0234011859157779	0.0507328917472118	0.603817660258387
7_IFNg- IL17a+ CD4+ CD3+ /ul	98.305	4.271	OK_nrc	Decreased	Decreased	NS	-0.321428571428571	-0.178571428571429	-0.107142857142857	0.0347600424418605	0.0167110639110523	0.0167110639110523	0.897263266247879
7_IFNg+ IL17a- CD4+ CD3+ /ul	98.305	44.291	NS	NS	NS	NS	-0.285714285714286	-0.107142857142857	0.178571428571429	0.659686185810811	0.614221779341746	0.782227954343363	0.614221779341746
7_IFNg- IL17a- CD4+ CD3+ /ul	98.305	798.277	OK_nrc	Decreased	NS	Enriched	-0.214285714285714	0.0357142857142857	0.321428571428571	0.0260812309756098	0.0354999933419732	0.407748722202937	0.00773564116407499
7_IL17a- IL22+ CD4+ CD3+ /ul	98.305	24.752	NS	NS	NS	NS	-0.0357142857142857	-0.0357142857142857	0.142857142857143	0.518218948818898	0.321563903551789	0.321563903551789	0.96358074784889
7_IFNg+ IL17a- IL22+ CD4+ CD3+ /ul	94.35	1.352	NS	NS	NS	NS	-0.25	-0.0714285714285714	0	0.604418017605634	0.617643492344904	0.617643492344904	0.617643492344904
