Feature	Covariate1	Covariate_type1	Effect_size1	Covariate2	Covariate_type2	Effect_size2	Covariate3	Covariate_type3	Effect_size3	Covariate4	Covariate_type4	Effect_size4	Covariate5	Covariate_type5	Effect_size5	Covariate6	Covariate_type6	Effect_size6	Covariate7	Covariate_type7	Effect_size7	Covariate8	Covariate_type8	Effect_size8	Covariate9	Covariate_type9	Effect_size9	Covariate10	Covariate_type10	Effect_size10
9_Va7.2+ CD161 % of CD3+	ACE_INHIBITOR	Not_reducible_to_covariate	-0.237188727289359	METFORMIN	Not_reducible_to_covariate	-0.253403943992038	PPI	Not_reducible_to_covariate	-0.214253006151854	STATIN	Not_reducible_to_covariate	-0.160700858971219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9_IL17a- IFNg+ Va7.2+ CD161 % of  CD3+	ACE_INHIBITOR	Not_reducible_to_covariate	-0.227121293107577	DIURETIC	Not_reducible_to_covariate	-0.213644832214846	METFORMIN	Not_reducible_to_covariate	-0.241037870397898	PPI	Not_reducible_to_covariate	-0.301659048593485	STATIN	Not_reducible_to_covariate	-0.186806122604467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9_IL17a- IFNg- Va7.2+ CD161 % of CD3+	ACE_INHIBITOR	Not_reducible_to_covariate	-0.208979768667768	AT2_BLOCKER	Not_reducible_to_covariate	0.14850526451608	METFORMIN	Not_reducible_to_covariate	-0.23552558696467	PPI	Not_reducible_to_covariate	-0.192274759452049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9_IFNg+ TNFa- Va7.2+ CD161 % of CD3+	ACE_INHIBITOR	Not_reducible_to_covariate	-0.203113093583633	DIURETIC	Not_reducible_to_covariate	-0.180304378773701	METFORMIN	Not_reducible_to_covariate	-0.164098802072531	PPI	Not_reducible_to_covariate	-0.314009992126613	STATIN	Not_reducible_to_covariate	-0.186083304731694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6_CD25- % of CD4+	ANTIDIABETIC	Not_reducible_to_covariate	-0.151965547798422	AT2_BLOCKER	Not_reducible_to_covariate	-0.179034248129022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6_CD25+ % of CD4+	ANTIDIABETIC	Not_reducible_to_covariate	0.152439710602787	AT2_BLOCKER	Not_reducible_to_covariate	0.188672850859156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6_CD27bright % of CD25- CD4+	BETA_BLOCKER	Not_reducible_to_covariate	0.166787765937331	CALCIUMANTAGONIST	Not_reducible_to_covariate	0.173389452509665	STATIN	Not_reducible_to_covariate	-0.165100283748456	THYROID	Not_reducible_to_covariate	0.151784489583133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6_CD27bright CD25- % of CD4+	BETA_BLOCKER	Not_reducible_to_covariate	0.175682565660019	CALCIUMANTAGONIST	Not_reducible_to_covariate	0.186151538020048	STATIN	Not_reducible_to_covariate	-0.164725973198375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6_CD27dim % of CD25- CD4+	METFORMIN	Not_reducible_to_covariate	0.195932251028278	XANTHAN_OXIDASE_INHIBITOR	Not_reducible_to_covariate	0.150786100701783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6_CD27dim CD25- % of CD4+	METFORMIN	Not_reducible_to_covariate	0.196931776478904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6_CD27- CD25- % of CD4+	BETA_BLOCKER	Not_reducible_to_covariate	-0.169809581765397	DIURETIC	Not_reducible_to_covariate	-0.167590787194199	THYROID	Not_reducible_to_covariate	-0.159053159902486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6_CD25+ % of CD4+2	ANTIDIABETIC	Not_reducible_to_covariate	0.152439710602787	AT2_BLOCKER	Not_reducible_to_covariate	0.188672850859156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6_CXCR3- CD25+ % of CD4+	AT2_BLOCKER	Not_reducible_to_covariate	0.160403438017733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
