Feature	Prevalence_percentage	Mean_abundance	Signal	Effect_1_2	Effect_1_3	Effect_2_3	EffectSize_1_2	EffectSize_1_3	EffectSize_2_3	Null_time_model_q	Post-hoc_q_1_2	Post-hoc_q_1_3	Post-hoc_q_2_3
7_Foxp3- Ki67+ % of CD3+	99.435	0.018	NS	NS	NS	NS	-0.137931034482759	-0.206896551724138	0.0517241379310345	0.354524042774567	0.264173266993703	0.202422303435604	0.608166894169217
7_Foxp3+ Ki67+ % of CD3+	99.435	0.012	NS	NS	NS	NS	-0.224137931034483	-0.137931034482759	-0.0689655172413793	0.60895051826087	0.582168650556093	0.491902486085212	0.591399737948941
7_Foxp3+ Ki67- % of CD3+	99.435	0.305	NS	NS	NS	NS	-0.0344827586206897	0.206896551724138	0.0344827586206897	0.958969878186969	0.939134074598941	0.939134074598941	0.939134074598941
7_Foxp3- Ki67- % of CD3+	99.435	0.659	NS	NS	NS	NS	0.0344827586206897	-0.137931034482759	-0.120689655172414	0.854677636760125	0.720151251218428	0.720151251218428	0.720151251218428
7_Helios- Ki67+ % of CD3+	99.435	0.02	NS	NS	NS	NS	-0.275862068965517	-0.206896551724138	0.172413793103448	0.651704733333333	0.396438192467486	0.396438192467486	0.984752134406086
7_Helios+ Ki67+ % of CD3+	99.435	0.007	NS	NS	NS	NS	-0.0862068965517241	0	-0.0862068965517241	0.801532600677966	0.709124410698501	0.709124410698501	0.831423177621676
7_Helios+ Ki67- % of CD3+	99.435	0.053	NS	NS	NS	NS	0.103448275862069	-0.0344827586206897	-0.206896551724138	0.320555700699301	0.691230470455269	0.177143480157959	0.153022172691959
7_Helios- Ki67- % of CD3+	99.435	0.914	NS	NS	NS	NS	0.0344827586206897	0.120689655172414	0.155172413793103	0.27975006	0.528767332186159	0.106652940504872	0.19483020986551
7_IFNg+ IL17a+ % of CD3+	99.435	0.002	NS	NS	NS	NS	-0.344827586206897	-0.172413793103448	0.0172413793103448	0.637247933064516	0.422381769064062	0.422381769064062	0.882106849996522
7_IFNg- IL17a+ % of CD3+	99.435	0.005	NS	NS	NS	NS	-0.241379310344828	-0.310344827586207	-0.0689655172413793	0.155079237727273	0.0509286540271413	0.0509286540271413	0.786568490721146
