Feature	Confounder1	Confounding_type1	Effect_size1	Confounder2	Confounding_type2	Effect_size2	Confounder3	Confounding_type3	Effect_size3	Confounder4	Confounding_type4	Effect_size4	Confounder5	Confounding_type5	Effect_size5	Confounder6	Confounding_type6	Effect_size6	Confounder7	Confounding_type7	Effect_size7
Acidaminococcus intestini _C_	ACE_INHIBITOR	Strictly deconfounded	-0.147185159	ANTIDIABETIC	Strictly deconfounded	-0.044117647	AT2_BLOCKER	Strictly deconfounded	0.144487949	STATIN	Strictly deconfounded	-0.102084743	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinomyces sp. ICM39	BETA_BLOCKER	Strictly deconfounded	0.146532079	THYROID	Strictly deconfounded	0.028699301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alistipes obesi	METFORMIN	Strictly deconfounded	-0.056662931	STATIN	Strictly deconfounded	-0.027916596	XANTHAN_OXIDASE_INHIBITOR	Strictly deconfounded	-0.068552392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteroides nordii _C_	AT2_BLOCKER	Strictly deconfounded	0.161152187	METFORMIN	Strictly deconfounded	-0.082412721	PPI	Strictly deconfounded	-0.059551366	STATIN	Strictly deconfounded	-0.102092212	VITAMIN_D	Strictly deconfounded	-0.092398009	XANTHAN_OXIDASE_INHIBITOR	Strictly deconfounded	-0.052853415	NA	NA	NA
Bacteroides sp. _C dorei_vulgatus_	THYROID	Strictly deconfounded	-0.16973434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bifidobacterium adolescentis	THYROID	Strictly deconfounded	-0.187245441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blautia producta	BETA_BLOCKER	Strictly deconfounded	-0.295113195	PPI	Strictly deconfounded	-0.151758428	THYROID	Strictly deconfounded	-0.330008944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coprococcus comes	BETA_BLOCKER	Strictly deconfounded	-0.058204507	PPI	Strictly deconfounded	0.256274383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dialister invisus	ACE_INHIBITOR	Strictly deconfounded	0.011962545	AT2_BLOCKER	Strictly deconfounded	0.2092901	STATIN	Strictly deconfounded	-0.102383365	THYROID	Strictly deconfounded	0.381584746	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eggerthella lenta _C Clostridioides difficile_	BETA_BLOCKER	Strictly deconfounded	-0.151745129	CALCIUMANTAGONIST	Strictly deconfounded	-0.127507703	THYROID	Strictly deconfounded	-0.169688277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eggerthella sp. CAG:298	DIURETIC	Strictly deconfounded	-0.048264637	THYROID	Strictly deconfounded	-0.10495471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Erysipelotrichaceae sp. _C Coprobacillus_Erysipelatoclostridium ramosum_	ACE_INHIBITOR	Strictly deconfounded	-0.083742905	AT2_BLOCKER	Strictly deconfounded	-0.093557757	CALCIUMANTAGONIST	Strictly deconfounded	-0.055360682	PPI	Strictly deconfounded	-0.033880043	THYROID	Strictly deconfounded	-0.07367444	VITAMIN_D	Strictly deconfounded	-0.0525672	NA	NA	NA
Oscillibacter sp. 57_20	PPI	Strictly deconfounded	-0.09370653	XANTHAN_OXIDASE_INHIBITOR	Strictly deconfounded	0.112439067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Parabacteroides johnsonii	THYROID	Strictly deconfounded	0.310220825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Roseburia hominis	PPI	Strictly deconfounded	-0.031638841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Roseburia sp. 40_7	AT2_BLOCKER	Strictly deconfounded	-0.164435583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
_Clostridium_ citroniae	BETA_BLOCKER	Strictly deconfounded	-0.405430053	PPI	Strictly deconfounded	-0.329049689	THYROID	Strictly deconfounded	-0.404436079	XANTHAN_OXIDASE_INHIBITOR	Strictly deconfounded	-0.184250389	NA	NA	NA	NA	NA	NA	NA	NA	NA
_Clostridium_ leptum	DIURETIC	Confounded	0.140756738	METFORMIN	Strictly deconfounded	-0.031176063	XANTHAN_OXIDASE_INHIBITOR	Strictly deconfounded	-0.015585167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bacterium LF-3	XANTHAN_OXIDASE_INHIBITOR	Strictly deconfounded	-0.042840777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
unknown Clostridiales Family XIII. Incertae Sedis	ANTIDIABETIC	Strictly deconfounded	-0.102941176	BETA_BLOCKER	Strictly deconfounded	0.044484666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
