Feature	Prevalence_percentage	Mean_abundance	Signal	Effect_1_2	Effect_1_3	Effect_2_3	EffectSize_1_2	EffectSize_1_3	EffectSize_2_3	Null_time_model_q	Post-hoc_q_1_2	Post-hoc_q_1_3	Post-hoc_q_2_3	Wilcox_p_ 1_2	Wilcox_p_ 1_3	Wilcox_p_ 2_3
Acidaminococcus.intestini._C_	8.696	3.145	OK_nrc	Decreased	NS	Enriched	-0.0869565217391304	0	0.0869565217391304	0.00178912602	8.32810652404758e-05	0.416557853029023	0.000587478797782217	0.556640054284046	1	0.556640054284046
Actinomyces.dentalis	10.145	0.116	NS	NS	NS	NS	0	0.0434782608695652	0.0434782608695652	0.955082114285714	0.996061287508397	0.996061287508397	0.996179308783539	1	1	1
Actinomyces.graevenitzii	24.638	0.333	NS	NS	NS	NS	-0.0869565217391304	-0.260869565217391	-0.130434782608696	0.442879515151515	0.6972245158931	0.200910100079144	0.200910100079144	0.659979589866018	0.177892679765897	0.360256026916042
Actinomyces.odontolyticus._C_	60.87	0.957	NS	NS	NS	NS	0.130434782608696	-0.217391304347826	-0.391304347826087	0.351826081690141	0.581406542349184	0.170873913142775	0.114298912173367	0.44810167688731	0.345998458838092	0.197302717864522
Actinomyces.sp..HPA0247	33.333	0.493	NS	NS	NS	NS	0.0869565217391304	-0.0434782608695652	-0.130434782608696	0.640345677707006	0.486505443688859	0.819334507499589	0.486505443688859	0.736692523529105	0.849691748460922	0.709495364531815
Actinomyces.sp..ICM39	40.58	0.71	OK_nrc	NS	NS	Decreased	0.130434782608696	-0.173913043478261	-0.391304347826087	0.0883291244444444	0.141972321450726	0.155913436906201	0.0146836429768003	0.0969381884283991	0.0969381884283991	0.0202372478574931
Actinomyces.sp..ICM47	60.87	1.261	OK_nc	NS	Decreased	NS	-0.260869565217391	-0.347826086956522	-0.173913043478261	0.0702986328	0.0589335798501756	0.00997053800443428	0.279995955573116	0.133826586874582	0.0887751434616026	0.320555947902075
Actinomyces.sp.._C.ICM58_oral.taxon.172_	43.478	1.13	NS	NS	NS	NS	0.130434782608696	-0.173913043478261	-0.260869565217391	0.276787973454545	0.691102926917425	0.0870340938325826	0.0851175111109916	0.354203558755915	0.186172241416525	0.186172241416525
Actinomyces.viscosus._C_	23.188	0.333	NS	NS	NS	NS	-0.130434782608696	-0.217391304347826	-0.0434782608695652	0.394722160465116	0.375288940418813	0.184680886716993	0.375288940418813	0.354353401676807	0.196799076441216	0.571607644953332
Adlercreutzia.equolifaciens	46.377	3.565	NS	NS	NS	NS	-0.0434782608695652	-0.173913043478261	0.0869565217391304	0.761646081521739	0.603455532927861	0.603455532927861	0.902579836566815	0.528854668728566	0.528854668728566	0.528854668728566
Akkermansia.muciniphila	43.478	56.71	NS	NS	NS	NS	0.0434782608695652	0.173913043478261	0	0.959193803433476	0.857523732700893	0.857523732700893	0.857523732700893	0.755657737671463	0.755657737671463	0.755657737671463
Alistipes.finegoldii._C_	50.725	17.551	NS	NS	NS	NS	-0.0434782608695652	-0.130434782608696	-0.0434782608695652	0.774331537113402	0.928189004223399	0.607232445249942	0.607232445249942	0.699742367165588	0.699742367165588	0.699742367165588
Alistipes.indistinctus	30.435	1.246	NS	NS	NS	NS	-0.0434782608695652	0.0869565217391304	-0.0434782608695652	0.640345677707006	0.419543788767063	0.903472953796998	0.419543788767063	0.670378740664756	0.670378740664756	0.670378740664756
Alistipes.inops	42.029	23.783	NS	NS	NS	NS	0.0434782608695652	0.0434782608695652	0.130434782608696	0.774331537113402	0.704054671236245	0.704054671236245	0.704054671236245	0.944284670241126	0.944284670241126	0.944284670241126
Alistipes.obesi	69.565	13.841	OK_nrc	NS	NS	Enriched	-0.260869565217391	0.304347826086957	0.565217391304348	0.0826642356521739	0.254378138528216	0.129510529862722	0.00887921652046957	0.419543188015992	0.352471609534843	0.0361858838230625
Alistipes.onderdonkii._C_	53.623	71.333	NS	NS	NS	NS	0.260869565217391	-0.0434782608695652	-0.217391304347826	0.40917607826087	0.299973917476421	0.567095821624444	0.183149745943878	0.116334250115498	0.52886452036419	0.116334250115498
Alistipes.putredinis	53.623	33.855	NS	NS	NS	NS	-0.217391304347826	0.0434782608695652	0.217391304347826	0.812655737313433	0.722091614019149	0.722091614019149	0.722091614019149	0.550210327328788	0.550210327328788	0.300017562563744
Alistipes.senegalensis	26.087	1.522	NS	NS	NS	NS	0.217391304347826	0.217391304347826	0.130434782608696	0.12694215	0.184159428289517	0.0197780334810301	0.191293779698311	0.133855269524943	0.133855269524943	0.13441657417036
Alistipes.shahii	50.725	12.391	NS	NS	NS	NS	0	0.130434782608696	0.0869565217391304	0.77677512244898	0.823563202593913	0.686154917050924	0.686154917050924	0.555689790282795	0.555689790282795	0.555689790282795
Anaerostipes.caccae._C_	13.043	0.188	NS	NS	NS	NS	0.0869565217391304	0.0434782608695652	0	0.586221075	0.422489593007241	0.439811429365339	0.439811429365339	0.87932052160971	0.87932052160971	1
Anaerostipes.hadrus._C_	94.203	46.565	NS	NS	NS	NS	0.217391304347826	0	-0.260869565217391	0.276787973454545	0.0695209090579275	0.954146378080836	0.0695209090579275	0.182855561872645	0.575086398427385	0.132342963985712
Anaerotruncus.colihominis	30.435	0.551	OK_nc	Enriched	Enriched	NS	0.347826086956522	0.260869565217391	-0.0869565217391304	0.0724099711428571	0.00738656942709338	0.0274670007599996	0.244288190821017	0.044727477348915	0.0605019170800717	0.221668012177003
Atopobium.parvulum._C_	21.739	0.304	NS	NS	NS	NS	-0.130434782608696	-0.130434782608696	-0.0434782608695652	0.6664824	0.715194949534372	0.533827022657451	0.533827022657451	0.759826280897482	0.614770094052695	0.614770094052695
Azospirillum.sp..51_20	8.696	20.783	NS	NS	NS	NS	0	0.0869565217391304	0	0.353373638461538	0.122963643246114	0.274212393128766	0.274212393128766	1	1	1
Azospirillum.sp..CAG.239	20.29	23.217	NS	NS	NS	NS	0.0434782608695652	-0.0869565217391304	-0.0434782608695652	0.955082114285714	0.916629311102734	0.916629311102734	0.916629311102734	0.787406490666269	0.692757027225956	0.692757027225956
Bacteroidales.gen.._C.Bacteroides.sp._Porphyromonas.sp._Parabacteroides.distasonis_	85.507	43.101	NS	NS	NS	NS	0.434782608695652	0.217391304347826	-0.0434782608695652	0.106205662	0.018741733916965	0.507644613566157	0.0512259227518808	0.257607671006032	0.689212194860958	0.563059438202354
Bacteroides.caccae	53.623	21.957	NS	NS	NS	NS	0.0869565217391304	-0.0434782608695652	-0.217391304347826	0.375752114285714	0.376948021595431	0.376948021595431	0.142203711206491	0.777457849859464	0.662651236078293	0.662651236078293
Bacteroides.clarus	18.841	3.029	NS	NS	NS	NS	0.217391304347826	0.0434782608695652	-0.130434782608696	0.3118193371875	0.147354024846484	0.738448013355145	0.155470671227811	0.17717468727161	1	0.26629477861823
Bacteroides.eggerthii	24.638	17.826	NS	NS	NS	NS	0.0869565217391304	0.0434782608695652	-0.217391304347826	0.715070396551724	0.682033011944134	0.705391190853892	0.682033011944134	0.441761090520165	0.787406490666269	0.155738894805055
Bacteroides.finegoldii	11.594	10.42	NS	NS	NS	NS	-0.0434782608695652	0.0434782608695652	0.0434782608695652	0.986093834567901	0.92318864431537	0.92318864431537	0.92318864431537	1	1	1
Bacteroides.fragilis._C_	68.116	52.957	NS	NS	NS	NS	0.217391304347826	-0.217391304347826	-0.391304347826087	0.434326465263158	0.166137679057643	0.992555386624138	0.166137679057643	0.407303042898279	0.407303042898279	0.251789870768783
Bacteroides.intestinalis	23.188	18.58	NS	NS	NS	NS	0	0.0869565217391304	-0.0869565217391304	0.610451317391304	0.375582238074315	0.811442690009095	0.375582238074315	0.674986713970489	0.674986713970489	0.674986713970489
Bacteroides.massiliensis	28.986	24.087	NS	NS	NS	NS	0.130434782608696	-0.0869565217391304	-0.173913043478261	0.40917607826087	0.252395401256235	0.570483355650581	0.188048380111897	0.204084177765573	0.16034528220674	0.126945824717142
Bacteroides.nordii._C_	33.333	3.449	OK_nrc	Enriched	NS	Decreased	0.347826086956522	-0.173913043478261	-0.391304347826087	0.00134228178	0.00162585831084758	0.143422751810608	8.1520049447974e-05	0.0210435913474506	0.171772777595712	0.0210435913474506
