feature	metadata	value	coef	stderr	pval	name	qval	N	N.not.zero
Verrucomicrobia.bacterium.CAG.312_58_20	Case	2a	-1.4254655485669	0.163528291690046	2.85833215131544e-18	Case2a	1.49204938298666e-15	69	6
Verrucomicrobia.bacterium.CAG.312_58_20	Case	3a	-0.868017728302415	0.132394701386618	5.51638257275335e-11	Case3a	1.43977585148862e-08	69	6
unknown.Clostridiales.Family.XIII..Incertae.Sedis	Case	2a	-1.8908514763218	0.379299385365819	6.1924614493619e-07	Case2a	8.08116219141728e-05	69	15
unknown.Clostridiales.Family.XIII..Incertae.Sedis	Case	3a	-2.02438280969317	0.402152303064765	4.80673234216611e-07	Case3a	8.08116219141728e-05	69	15
Acidaminococcus.intestini._C_	Case	2a	-3.30319123254717	0.731525947059072	6.31733259341357e-06	Case2a	0.000659529522752377	69	6
Roseburia.hominis	Case	2a	1.67094684969673	0.404840028221079	3.66848036054383e-05	Case2a	0.00319157791367313	69	54
Erysipelotrichaceae.sp.._C.Coprobacillus_Erysipelatoclostridium.ramosum_	Case	2a	1.93572907372415	0.488323891507839	7.36959225610371e-05	Case2a	0.00549561022526591	69	31
Clostridium.celatum	Case	2a	-3.55534736591973	1.01418398493606	0.000455538845870942	Case2a	0.0243809645522082	69	6
Clostridium.celatum	Case	3a	-3.55534950055369	1.0141853903356	0.000455543557354087	Case3a	0.0243809645522082	69	6
Coprococcus.comes	Case	2a	-1.09137867140451	0.313043922286145	0.000489671639427067	Case2a	0.0243809645522082	69	53
Dialister.invisus	Case	2a	-1.9426101205107	0.563067174697401	0.000560481943728925	Case2a	0.0243809645522082	69	29
X_Eubacterium_.rectale	Case	2a	-1.84665565923945	0.534450082505186	0.000549794189335784	Case2a	0.0243809645522082	69	50
Bacteroides.nordii._C_	Case	2a	1.17095124410861	0.342058788464082	0.000618781408409336	Case2a	0.0248464534761287	69	23
Eggerthella.sp..CAG.298	Case	2a	-1.82684080412818	0.550734543123938	0.000909574974365528	Case2a	0.033914152615629	69	14
Bifidobacterium.adolescentis	Case	2a	-2.41065001972585	0.764571972969108	0.00161634690060551	Case2a	0.0562488721410719	69	37
Anaerotruncus.colihominis	Case	2a	1.94591081087972	0.628983060356354	0.00197649814278587	Case2a	0.0606901194431896	69	21
X_Clostridium_.citroniae	Case	2a	1.07038167019542	0.345134058556582	0.00192640147591405	Case2a	0.0606901194431896	69	30
Actinomyces.sp..ICM47	Case	3a	-1.26754402258656	0.415535428158579	0.00228546381632801	Case3a	0.0662784506735124	69	42
Blautia.producta	Case	2a	1.72716112361466	0.573160503261518	0.00258339259740934	Case2a	0.0709753124130356	69	15
Enorma.massiliensis	Case	2a	-2.19721164747112	0.745357906106383	0.00319980703941797	Case2a	0.0835149637288091	69	7
Alistipes.senegalensis	Case	3a	0.714653922634401	0.254469548685615	0.00497873448340931	Case3a	0.0920811473777202	69	18
Bacteroidales.gen.._C.Bacteroides.sp._Porphyromonas.sp._Parabacteroides.distasonis_	Case	2a	0.598000329517013	0.21146199153565	0.00468496206216804	Case2a	0.0920811473777202	69	59
Clostridiales.bacterium.VE202.09	Case	2a	3.17596712647199	1.11303252825844	0.00432492334347028	Case2a	0.0920811473777202	69	6
Oscillibacter.sp..ER4	Case	2a	-1.22436719682228	0.435098867477682	0.00489295838836245	Case2a	0.0920811473777202	69	46
Parabacteroides.johnsonii	Case	2a	1.36468104902955	0.488742266780937	0.00523460574199586	Case2a	0.0920811473777202	69	10
Roseburia.sp..40_7	Case	2a	-2.1972233014545	0.77516643747368	0.00458948572821827	Case2a	0.0920811473777202	69	25
Streptococcus.anginosus	Case	2a	-1.0097597169289	0.351739359987371	0.00409484701133832	Case2a	0.0920811473777202	69	7
Streptococcus.anginosus	Case	3a	-2.51137826669567	0.869588897373008	0.00387692032649197	Case3a	0.0920811473777202	69	7
X_Clostridium_.scindens	Case	2a	1.22301753032675	0.438562019218823	0.0052920199642368	Case2a	0.0920811473777202	69	23
unknown.Clostridiaceae	Case	2a	-1.50724753269276	0.540246515141736	0.00527201699852761	Case2a	0.0920811473777202	69	16
Intestinimonas.butyriciproducens	Case	2a	1.39600969408371	0.504208084642278	0.00562774268471195	Case2a	0.094763925207085	69	33
X_Clostridium_.leptum	Case	2a	-1.39365552694625	0.512929519065701	0.00658665100466639	Case2a	0.107444744513621	69	41
X_Clostridium_.saccharogumia	Case	2a	1.07174846383336	0.396478874921828	0.00686823058247227	Case2a	0.108642920122743	69	17
Collinsella.aerofaciens._C_	Case	2a	-0.943349809223033	0.356032444944491	0.0080582937323925	Case2a	0.122909241883556	69	49
Oscillibacter.sp..KLE.1728	Case	2a	0.835957723444703	0.317555678227593	0.00847649944024523	Case2a	0.122909241883556	69	63
X_Clostridium_.leptum	Case	3a	-1.31428979980233	0.498646082596711	0.00839598003965348	Case3a	0.122909241883556	69	41
Enterobacteriaceae.sp.._C.Escherichia.coli_Escherichia.fergusonii_Shigella.boydii_Shigella.dysenteriae_Shigella.flexneri_Shigella.sonnei_	Case	3a	-1.46035260822125	0.563059618895567	0.00949763352318471	Case3a	0.133993640516282	69	40
Roseburia.sp..CAG.182	Case	2a	-2.77347454853277	1.0740741406183	0.00981725936430265	Case2a	0.134858141793842	69	10
Parabacteroides.goldsteinii._C_	Case	2a	-0.95551240661333	0.372093136895989	0.0102305213697976	Case2a	0.136931593718829	69	6
unknown.Pseudoflavonifractor	Case	2a	1.5107469119213	0.598079028815558	0.0115369873774865	Case2a	0.150557685276199	69	19
Clostridium.sp..CAG.440	Case	2a	-4.52178865603468	1.79742066336284	0.011879297397441	Case2a	0.151243737596687	69	7
Eggerthella.sp..CAG.298	Case	3a	-1.0980989952849	0.441447965405845	0.0128646762845092	Case3a	0.156154518157788	69	14
Ruminococcus.callidus	Case	2a	-4.22961789644887	1.69518652668273	0.0125930431652394	Case2a	0.156154518157788	69	12
Ruminococcus.sp..CAG.177	Case	2a	-1.00974897126618	0.408587188629313	0.0134615963929128	Case2a	0.156154518157788	69	13
unknown.Ruminococcaceae	Case	2a	-0.421553286151098	0.170565991145976	0.0134548788885498	Case2a	0.156154518157788	69	65
unknown.Bacteria	Case	3a	2.62878050706441	1.07603706101104	0.0145649133631997	Case3a	0.165280103817179	69	17
Turicibacter.sanguinis._C_	Case	3a	-2.22362923271247	0.91583467431811	0.0151831366401265	Case3a	0.168629730343533	69	13
X_Clostridium_.saccharogumia	Case	3a	0.959158308892176	0.398516768526447	0.0160920791986374	Case3a	0.175001361285181	69	17
Anaerotruncus.colihominis	Case	3a	1.54044578410305	0.646761030580883	0.0172289486144865	Case3a	0.176343356407098	69	21
X_Ruminococcus_.gnavus	Case	3a	-1.35989435572025	0.570575036849785	0.0171547030191982	Case3a	0.176343356407098	69	38
unknown.Lentisphaerae	Case	3a	-1.4700253059475	0.615503751768271	0.0169251941987832	Case3a	0.176343356407098	69	14
Ruminococcus.callidus	Case	3a	-3.95150072263899	1.69835496158962	0.019983174951043	Case3a	0.200600333162393	69	12
Blautia.hansenii._C_	Case	2a	-3.0808973133313	1.3430379472931	0.0217918561673262	Case2a	0.211070826847532	69	7
Eggerthella.lenta._C.Clostridioides.difficile_	Case	2a	0.619267785538256	0.270398728750007	0.0220095932345111	Case2a	0.211070826847532	69	52
unknown.Peptostreptococcaceae	Case	2a	-0.763970451302448	0.334157819559785	0.0222392633651614	Case2a	0.211070826847532	69	50
Blautia.sp..KLE.1732	Case	2a	-0.964819630290884	0.426185440416609	0.0235833823480676	Case2a	0.216559045210888	69	55
Clostridium.sp..KLE.1755	Case	2a	1.70730583870989	0.756738889124079	0.0240621161345431	Case2a	0.216559045210888	69	16
X_Clostridium_.asparagiforme	Case	2a	1.14824345202535	0.507888684120726	0.0237705815865965	Case2a	0.216559045210888	69	26
unknown.Dialister	Case	2a	-2.8554786256957	1.28361503813051	0.0261107926905029	Case2a	0.231014131939703	69	7
Rothia.mucilaginosa	Case	2a	1.44049758901942	0.654813710754481	0.0278169270662718	Case2a	0.242007265476564	69	24
Clostridium.sp..JCC	Case	2a	-1.96687930823179	0.899778506471843	0.028818573847655	Case2a	0.246611402434032	69	19
Bacteroides.sp.._C.fragilis_ovatus_	Case	2a	0.578874847658485	0.27035857727295	0.0322629634778633	Case2a	0.271295859088372	69	57
Oscillibacter.sp..57_20	Case	3a	0.48699933795744	0.22857993838941	0.0331268276508039	Case3a	0.271295859088372	69	53
Propionibacterium.freudenreichii	Case	2a	-2.77258817059923	1.30235563394237	0.0332623275510647	Case2a	0.271295859088372	69	9
Streptococcus.mitis	Case	3a	-1.55059741332515	0.7339899733994	0.0346384973310458	Case3a	0.278173778566244	69	20
Actinomyces.sp..ICM47	Case	2a	-0.788128073346769	0.374539151941302	0.0353556993378638	Case2a	0.27963144021765	69	42
Clostridium.sp..CAG.302	Case	2a	-2.7066315828031	1.29161591884913	0.0361231017707936	Case2a	0.281436703348571	69	7
Azospirillum.sp..51_20	Case	2a	2.80135904299316	1.34305866921823	0.0369962528513727	Case2a	0.284000646888479	69	6
unknown.Synergistaceae	Case	2a	1.60943848319226	0.776238831533534	0.0381368790713797	Case2a	0.288513780800873	69	6
unknown.Dialister	Case	3a	-2.47690838857201	1.21297792523868	0.0411509208449984	Case3a	0.306868295444131	69	7
Anaerostipes.hadrus._C_	Case	2a	0.681236715346135	0.335314971293446	0.0421908975655467	Case2a	0.31019223280585	69	65
Clostridium.sp..CAG.230	Case	2a	-2.39224822047663	1.18844699167933	0.0441230902591375	Case2a	0.319892404378747	69	11
Bacteroides.clarus	Case	2a	1.496867455785	0.746300862637113	0.0448865750619776	Case2a	0.320969755922634	69	13
Bacteroides.sp.._C.dorei_vulgatus_	Case	2a	0.346403678080437	0.175867400749728	0.0488742895924062	Case2a	0.33628214495903	69	66
Bifidobacterium.animalis	Case	3a	2.58399753201743	1.31238372658462	0.0489606188062955	Case3a	0.33628214495903	69	9
Subdoligranulum.sp..4_3_54A2FAA	Case	3a	-0.685741042285819	0.348098513245091	0.0488426603089149	Case3a	0.33628214495903	69	58
Actinomyces.sp.._C.ICM58_oral.taxon.172_	Case	3a	-0.997726094938843	0.516917518029023	0.0535887944822006	Case3a	0.35662236445781	69	30
Bacteroides.sp..CAG.144	Case	2a	-2.65989401408698	1.38872291691722	0.0554475549796419	Case2a	0.35662236445781	69	11
Paraprevotella.clara	Case	2a	0.837438139948476	0.437009092406623	0.0553276148193562	Case2a	0.35662236445781	69	11
X_Eubacterium_.sulci	Case	2a	1.5040743391613	0.781697950429729	0.0543405570995826	Case2a	0.35662236445781	69	13
butyrate.producing.bacterium.SS3_4	Case	2a	-0.505561016433537	0.264570956998577	0.0560211377117632	Case2a	0.35662236445781	69	59
unknown.Mogibacterium	Case	3a	-1.56322871001895	0.815020450759771	0.0551079797184396	Case3a	0.35662236445781	69	13
Actinomyces.viscosus._C_	Case	3a	-1.0986122947304	0.578384313661274	0.0575052870197456	Case3a	0.357354283622705	69	16
Lactobacillus.sp.._C.casei_paracasei_	Case	3a	-2.3025911940225	1.21062378961862	0.0571728018570586	Case3a	0.357354283622705	69	8
X_Clostridium_.sp.._C.boltae_clostridioforme_	Case	2a	0.914574803224074	0.484040973564139	0.0588305647509586	Case2a	0.361288880000005	69	35
Actinomyces.graevenitzii	Case	3a	-1.29925253305437	0.704594579711425	0.0651872505275562	Case3a	0.391830020860486	69	17
Clostridium.sp..27_14	Case	2a	1.94593404396498	1.06933880699823	0.0687964084393028	Case2a	0.391830020860486	69	6
Clostridium.sp..27_14	Case	3a	1.94593475949084	1.06933600155541	0.0687955791277847	Case3a	0.391830020860486	69	6
Granulicatella.adiacens	Case	3a	-1.94591032913223	1.06908293592901	0.068733456018693	Case3a	0.391830020860486	69	12
Hungatella.hathewayi	Case	2a	0.916290665932427	0.503913114555128	0.0690105782286434	Case2a	0.391830020860486	69	16
Sutterella.wadsworthensis	Case	2a	0.637772247895711	0.352090714414271	0.0700810964987643	Case2a	0.391830020860486	69	25
X_Clostridium_.symbiosum._C_	Case	2a	0.980087680597897	0.541221675436181	0.0701593796341121	Case2a	0.391830020860486	69	16
bacterium.LF.3	Case	3a	-0.508586031636036	0.281250523340471	0.0705594290438422	Case3a	0.391830020860486	69	50
unknown.Roseburia	Case	2a	-1.04958483814392	0.579691565035922	0.0702040507115446	Case2a	0.391830020860486	69	49
Faecalitalea.cylindroides	Case	2a	1.69110109735112	0.939751438196277	0.0719365321954562	Case2a	0.394881471740751	69	9
Paraprevotella.clara	Case	3a	0.812616694432202	0.452660876969215	0.0726218798603679	Case3a	0.394881471740751	69	11
Clostridium.sp..JCC	Case	3a	-1.5913200468186	0.892632061945203	0.0746306136720512	Case3a	0.398974181386118	69	19
Collinsella.aerofaciens._C_	Case	3a	-0.633773303866189	0.357144078785874	0.075970702207593	Case3a	0.398974181386118	69	49
Oscillibacter.sp..57_20	Case	2a	-0.421233691554098	0.236551326288195	0.0749568127489329	Case2a	0.398974181386118	69	53
Ruminococcus.sp..CAG.177	Case	3a	-0.697561927402676	0.393707858584653	0.076431835514582	Case3a	0.398974181386118	69	13
