feature	metadata	value	coef	stderr	pval	name	qval	N	N.not.zero
Alistipes.onderdonkii._C_	Case	3a	-1.21000288841647	0.31402710649509	0.000116593729878535	Case3a	0.0162648253180556	69	37
Dialister.invisus	Case	2a	-2.97743290523611	0.784877288215159	0.000148537935333988	Case2a	0.0165768335832731	69	29
Oscillibacter.sp..KLE.1728	Case	2a	1.10360293635773	0.351044808518138	0.00166788423383578	Case2a	0.102773226352816	69	63
Alistipes.onderdonkii._C_	Case	2a	-0.976020355752886	0.361235345244207	0.00689453119092119	Case2a	0.131218099725305	69	37
Bacteroides.sp.._C.dorei_vulgatus_	Case	2a	0.510955638438221	0.189764933542104	0.00709033456087101	Case2a	0.131218099725305	69	66
Bacteroides.xylanisolvens._C_	Case	2a	0.755586892281693	0.299428917597951	0.0116217323019413	Case2a	0.170655963802191	69	57
Collinsella.aerofaciens._C_	Case	2a	-1.17178628098134	0.468061171490524	0.0122975290090069	Case2a	0.175949261205791	69	49
unknown.Eubacterium	Case	3a	-0.849825757262018	0.355123643106788	0.0167093328218816	Case3a	0.202691472056738	69	53
Bacteroides.sp.._C.rodentium_uniformis_	Case	2a	0.77412937495239	0.325166294139264	0.0172789157024698	Case2a	0.204658601891632	69	63
Alistipes.putredinis	Case	2a	-0.667364919648358	0.288332979332891	0.0206368456705184	Case2a	0.208748529933972	69	37
Odoribacter.splanchnicus	Case	2a	0.421812801005666	0.182365847333276	0.0207224594198949	Case2a	0.208748529933972	69	58
unknown.Clostridiales	Case	2a	0.239621420123966	0.104232854847459	0.0215103404490261	Case2a	0.208748529933972	69	69
unknown.Tyzzerella	Case	2a	0.827374824434051	0.359099870552575	0.0212212800883071	Case2a	0.208748529933972	69	39
Actinomyces.sp.._C.ICM58_oral.taxon.172_	Case	3a	-1.15702771591323	0.522941889975058	0.0269296570937261	Case3a	0.224279830720883	69	30
unknown.Eubacterium	Case	2a	-0.826803556183393	0.378789621709723	0.0290541265224831	Case2a	0.225169480549244	69	53
Oscillibacter.sp..ER4	Case	2a	-0.925235219263099	0.469444303758613	0.0487335017853281	Case2a	0.298538271764795	69	46
unknown.Clostridiales	Case	3a	0.186198924782442	0.0983508586872404	0.0583298188568816	Case3a	0.335546793011752	69	69
Collinsella.aerofaciens._C_	Case	3a	-0.76158901449419	0.421879063828525	0.0710385973823627	Case3a	0.366330016962397	69	49
unknown.Bacteria	Case	3a	1.80899584761641	1.03022101090453	0.0791003836322405	Case3a	0.390601894396373	69	17
unknown.Tyzzerella	Case	3a	0.550377358879305	0.336963105253139	0.102396235580322	Case3a	0.457096795630555	69	39
Anaerostipes.hadrus._C_	Case	2a	0.517649228355778	0.327957524090564	0.114472994528151	Case2a	0.495162255400841	69	65
Bacteroides.sp.._C.fragilis_ovatus_	Case	2a	0.473000114541335	0.30702844810446	0.123420444211212	Case2a	0.507564571502019	69	57
Coprococcus.catus	Case	2a	0.319791700994413	0.21187747635388	0.13121607565896	Case2a	0.519280639841843	69	49
Bacteroidales.gen.._C.Bacteroides.sp._Porphyromonas.sp._Parabacteroides.distasonis_	Case	2a	0.330033501674775	0.220074419478489	0.133706385840478	Case2a	0.52540960069709	69	59
Streptococcus.parasanguinis	Case	2a	0.592171775162423	0.419856021670858	0.15841679618478	Case2a	0.565494811668162	69	46
unknown.Clostridiales.Family.XIII..Incertae.Sedis	Case	3a	-0.999831801394322	0.869839140110547	0.250372746228848	Case3a	0.64679626109119	69	15
Coprococcus.catus	Case	3a	0.252853738437332	0.225347037104443	0.26183534118214	Case3a	0.65079118461395	69	49
Streptococcus.salivarius._C_	Case	2a	-0.424522554421074	0.37631942285803	0.259281489247512	Case2a	0.65079118461395	69	58
Streptococcus.salivarius._C_	Case	3a	-0.367552651929073	0.328697975639158	0.263478238506196	Case3a	0.65079118461395	69	58
